epoch,stage,L_D,L_G,L_rec,L_lpips,L_div,L_clip,L_reg,L_total
1,Stage1,0.0,0.0,0.2255863734940688,5.879693014081319,8.243769644705454,0.6229426092704137,0.4690977706551552,3.342644904836019
2,Stage1,0.0,0.0,0.2116117781917254,5.84350922648112,0.9474525419235229,0.6232738514343897,0.5838491844097773,3.3309002752304075
3,Stage1,0.0,0.0,0.20410258745153745,5.81448774433136,0.9880769443591436,0.6260582934975624,0.5633411782105764,3.3372107555389405
4,Stage1,0.0,0.0,0.18785500209828218,5.753002679634094,1.0219815953652065,0.6169386034051577,0.5438983121554056,3.27526750682195
5,Stage1,0.0,0.0,0.17763913082480431,5.721689619509379,1.1177573357582091,0.610035235063235,0.5246525911092759,3.230438566462199
6,Stage2,11.521222104008993,-0.49746134677728016,0.17143158091505367,5.698530624580384,1.11202247783343,0.6055544547001521,0.5032368392745654,3.2017200344085692
7,Stage2,11.180370392100016,-0.6399076964139938,0.19350616976718107,5.042485449155172,1.0057021262645722,0.5723612119476,0.5145535469412804,3.4810260403315225
8,Stage2,11.153299879455567,-0.6169625837624073,0.2341223257402579,5.102176349639892,1.0353287930806478,0.5526433694839478,0.522180462829272,3.910850633430481
9,Stage2,11.166968049112956,-0.6130597974956036,0.26216266177992026,5.204952394676209,1.145420656355222,0.5302103078603745,0.5243548605124155,4.400039925479889
10,Stage2,11.147803219350179,-0.6007535916010539,0.27619721683263776,5.2632342575073245,1.19656787759463,0.5214603243509929,0.5254167455911636,4.949539134184519
11,Stage2,11.119635028584797,-0.5939215622136991,0.2773100161164999,5.254040325164795,1.1960746168931324,0.5133667605598767,0.5260728104750315,5.456056263955434
12,Stage2,11.114522429148357,-0.5993116942236821,0.2743344981600841,5.251363574918111,1.1729709857384363,0.4991480672558149,0.5273403439998626,5.430807843939463
13,Stage2,11.108799147160848,-0.5988706370398402,0.2732017725567023,5.245197176996867,1.1722061895926794,0.4941064870715141,0.5278574890693029,5.418913370132446
14,Stage2,11.102918658828735,-0.6025700305402278,0.2703833329896132,5.23765815521876,1.1555853890260062,0.483708676747481,0.5280082562685012,5.394460211499532
15,Stage2,11.098489014307658,-0.602770631540815,0.2703583985865116,5.243819102891286,1.1544950674057006,0.48254560888210934,0.5283963515281678,5.39923643767039
16,Stage2,11.114522788111369,-0.613043755243222,0.2680396258195241,5.235172552935283,1.144275992679596,0.4777538772424062,0.5287367167711258,5.373209659353892
17,Stage2,11.122711820348103,-0.6180139819025994,0.2662070538580418,5.222571878178915,1.1523353940884273,0.47724377789497374,0.5292460631926854,5.353301182111104
18,Stage2,11.121112972132364,-0.6208042089243729,0.26349714859128,5.212059714571635,1.1532062261660894,0.47358936763207116,0.5294283868789673,5.333636300055186
19,Stage2,11.13111572596232,-0.6242724352777004,0.26297120586733025,5.202245968691508,1.1551423361063005,0.47175943110783897,0.5299734676520029,5.31800388917923
20,Stage2,11.12036327349345,-0.6190334329823652,0.25925750411450865,5.18222747519811,1.1498507110118865,0.4702344124118487,0.5302283486366272,5.297988238207499
21,Stage2,11.121328862762452,-0.6204640918801229,0.2573864398787419,5.171970241324106,1.142267883682251,0.4660682176709175,0.5305983260393142,5.280266777261098
22,Stage2,11.147538789240519,-0.6324465470428268,0.2573377147277196,5.158152874279022,1.1543272243499756,0.46275687300364177,0.5310825631141662,5.251111738522847
23,Stage2,11.13936920115153,-0.6235788075288137,0.25550498839815455,5.138974430561066,1.1571633058627446,0.45568889102141064,0.5312634086211523,5.231902130540212
24,Stage2,11.129983567301432,-0.6218816206355889,0.2522437843292952,5.130096827793121,1.144910426545143,0.4522327325582504,0.5314716621001562,5.218006436602274
25,Stage2,11.13122852973938,-0.6235871030728022,0.25123576699296635,5.123309501393636,1.1390825632890065,0.4496698670824369,0.5316749283313751,5.205944774627685
26,Stage3,11.131239530181885,-0.6251017642249663,0.2480518515934547,5.113652147293091,1.1531688714106878,0.44889323688745497,0.5316444198290508,5.190811918671926
27,Stage3,11.144976653162638,-0.6342489466021458,0.24531601684888205,5.092388109461466,1.1337409805854162,0.4418040165901184,0.5320972201903661,5.37732836526235
28,Stage3,11.153561977005005,-0.6411612354556719,0.24257015461325646,5.0775721064249675,1.1144106373548508,0.439987999522686,0.5326704694668452,5.57005997168223
29,Stage3,11.158985039520264,-0.6446918459534645,0.23977401981254418,5.060478183269501,1.114960518248876,0.4379167263666789,0.5331629850546519,5.76778504187266
30,Stage3,11.166210131327311,-0.6520956620554129,0.23844597817460697,5.0498668262163795,1.1144945717334747,0.4362817014336586,0.5337285584926605,5.969431788380941
31,Stage3,11.172859303919473,-0.6578407725850741,0.23683972676197687,5.040518406422933,1.1182221127986909,0.4352658345143,0.5342740574359893,6.178348043759664
32,Stage3,11.176599472173056,-0.6609524935583273,0.2358088216503461,5.035512647914887,1.1201945045232773,0.43603246182998023,0.5346128134250641,6.171942065302531
33,Stage3,11.183036731719971,-0.6654504021525383,0.23494723066886267,5.030966445763906,1.1197534173488617,0.43550354164044064,0.534999254155159,6.161070214017232
34,Stage3,11.18017122777303,-0.6642894210398197,0.2332737774024407,5.021002667776743,1.1185929750760397,0.4328762612779935,0.5353443843603134,6.146809697151184
35,Stage3,11.176997679901124,-0.6638022245883942,0.232233327404658,5.014793575795491,1.1211808224519093,0.4321798295776049,0.5356674570798874,6.141941998354594
36,Stage3,11.175854738998414,-0.6641216774145762,0.23032027077774206,5.0036010138193765,1.116325535329183,0.4319795310338338,0.5358708368062973,6.123463380622864
37,Stage3,11.17638137512207,-0.6658888840079308,0.22938405250708263,4.997859347057343,1.1178704363505045,0.43260451755126317,0.5361669920285543,6.1171911307652795
38,Stage3,11.17677138748169,-0.6676021295130253,0.2281784537265698,4.99116685295105,1.1175608697414399,0.4315043836871783,0.5364887789011001,6.106173309071859
39,Stage3,11.175192455927531,-0.6686362997492155,0.22674821586608887,4.982533816401164,1.1192029091755549,0.43163623745838803,0.536764558728536,6.096852519162496
40,Stage3,11.174618957901002,-0.6701585377275944,0.22586064003308615,4.977122909005483,1.1169296142578125,0.43117801181475324,0.5371068871895472,6.0863037012736
41,Stage3,11.173851967748007,-0.6712205736160278,0.22456620658636092,4.969796549479167,1.118050246230761,0.4296477477749189,0.5373503291606903,6.076213678995768
42,Stage3,11.173856511052449,-0.6725676100254059,0.22444566058715185,4.965423876635233,1.1263598031123478,0.4275987802942594,0.5375910056432088,6.076636411539713
43,Stage3,11.171723411814371,-0.6740939913511276,0.22282407989501954,4.9582100055058795,1.1196356431484222,0.4269089033683141,0.5379250017404557,6.058863889503479
44,Stage3,11.17150068804423,-0.6757556413074335,0.22224032142162323,4.952923999563853,1.1229289976040522,0.42725270760854084,0.5381576129595439,6.054971951293945
45,Stage3,11.177932885996501,-0.6818801918248335,0.2216385462284088,4.950010418383281,1.1224672972758611,0.4271057755510012,0.5384478161732356,6.04472631893158
46,Stage3,11.17803309733073,-0.6808215453187625,0.22035281596779824,4.940155656846365,1.1242308125416438,0.42624688359101615,0.5386241261164347,6.035550855573018
47,Stage3,11.176366397094727,-0.6795358689407508,0.2196555828243494,4.935880888779958,1.1202893276055654,0.42635306353171665,0.5388335743268331,6.0280313282648725
48,Stage3,11.1739644115448,-0.6809615396459897,0.21833496241768202,4.92676920264562,1.1170521245002747,0.4254677280743917,0.5390121766408285,6.012052594375611
49,Stage3,11.174028084945679,-0.6835737001856168,0.21778993725876014,4.923118486531576,1.1214480151335398,0.42423714855511985,0.5392747549215953,6.008412627410888
50,Stage3,11.172136434300741,-0.6861337560971578,0.21719391525884468,4.917089291890462,1.1251569597482682,0.4244070043404897,0.5395469177802403,6.003108877245585
